Gene,Name,Sample,Target,Cq Mean,Cq SD,Oligos,Class_gene,Group,hsk_cq,dCT,dCT_mean,ddCT,FoldChange
cdk2ap2,uninjected_rep1,1,1,22.464172910000002,0.11512380048654236,946/947,hsk,uninjected,22.464172910000002,0,0,0,1
cdk2ap2,uninjected_rep2,2,1,22.27785823,0.11477761861191127,946/947,hsk,uninjected,22.27785823,0,0,0,1
cdk2ap2,znf_1_rep2,8,1,23.32657650666667,0.10687202611602468,946/947,hsk,znf_1,23.32657650666667,0,0,0,1
cdk2ap2,pcas13d_rep1,4,1,22.398121686666666,0.188732985017918,946/947,hsk,pcas13d,22.398121686666666,0,0,0,1
cdk2ap2,pcas13d_rep2,5,1,22.557960226666665,0.10659840683519467,946/947,hsk,pcas13d,22.557960226666665,0,0,0,1
cdk2ap2,pcas13d_rep3,6,1,23.067334825,0.053346051832088216,946/947,hsk,pcas13d,23.067334825,0,0,0,1
cdk2ap2,znf_1_rep1,7,1,22.973062256666665,0.07800347520302071,946/947,hsk,znf_1,22.973062256666665,0,0,0,1
cdk2ap2,znf_2_rep2,11,1,22.729223593333334,0.13884697938384785,946/947,hsk,znf_2,22.729223593333334,0,0,0,1
cdk2ap2,uninjected_rep3,3,1,22.535828915,0.09405338312326968,946/947,hsk,uninjected,22.535828915,0,0,0,1
cdk2ap2,znf_2_rep3,12,1,23.1535064,0.13252843629696184,946/947,hsk,znf_2,23.1535064,0,0,0,1
cdk2ap2,znf_3_rep1,13,1,23.165401636666665,0.18312248642960957,946/947,hsk,znf_3,23.165401636666665,0,0,0,1
cdk2ap2,znf_2_rep1,10,1,23.353337455000002,0.048985380881056986,946/947,hsk,znf_2,23.353337455000002,0,0,0,1
cdk2ap2,znf_1_rep3,9,1,22.74684596,0.010057646439293634,946/947,hsk,znf_1,22.74684596,0,0,0,1
cdk2ap2,znf_3_rep3,15,1,22.846540023333333,0.08933616731165962,946/947,hsk,znf_3,22.846540023333333,0,0,0,1
cdk2ap2,znf_3_rep2,14,1,22.807432653333333,0.17802251884251996,946/947,hsk,znf_3,22.807432653333333,0,0,0,1
taf15,uninjected_rep1,1,3,20.129848646666666,0.1295723673906893,944/945,exp,uninjected,22.464172910000002,-2.334324263333336,-2.363123338333333,0.02879907499999712,0.9802359238784076
taf15,znf_1_rep2,8,3,20.643395483333332,0.15059037889430674,944/945,exp,znf_1,23.32657650666667,-2.6831810233333364,-2.363123338333333,-0.3200576850000032,1.2483804633917333
taf15,znf_2_rep3,12,3,20.545427806666666,0.1007353847611619,944/945,exp,znf_2,23.1535064,-2.6080785933333352,-2.363123338333333,-0.24495525500000204,1.1850560160126287
taf15,pcas13d_rep3,6,3,20.614245495,0.15158349184565723,944/945,exp,pcas13d,23.067334825,-2.453089330000001,-2.363123338333333,-0.08996599166666774,1.0643450925845421
taf15,uninjected_rep3,3,3,20.28767535,0.1076239362672133,944/945,exp,uninjected,22.535828915,-2.248153564999999,-2.363123338333333,0.11496977333333414,0.9234016572031188
taf15,znf_3_rep1,13,3,20.955411724999998,0.0098190898245219,944/945,exp,znf_3,23.165401636666665,-2.2099899116666677,-2.363123338333333,0.15313342666666552,0.8992951376043289
taf15,znf_2_rep1,10,3,20.37184919,0.013973122960892398,944/945,exp,znf_2,23.353337455000002,-2.981488265000003,-2.363123338333333,-0.6183649266666698,1.5351343558904196
taf15,znf_1_rep1,7,3,20.27793307,0.05864094741218144,944/945,exp,znf_1,22.973062256666665,-2.695129186666666,-2.363123338333333,-0.3320058483333326,1.2587622762093433
taf15,znf_2_rep2,11,3,20.20888198,0.11685800377691635,944/945,exp,znf_2,22.729223593333334,-2.5203416133333327,-2.363123338333333,-0.15721827499999952,1.1151349221999525
taf15,znf_3_rep2,14,3,20.569538235000003,0.06701104594201186,944/945,exp,znf_3,22.807432653333333,-2.2378944183333296,-2.363123338333333,0.12522892000000363,0.9168585488999803
taf15,pcas13d_rep1,4,3,20.17352938333333,0.17791391364614528,944/945,exp,pcas13d,22.398121686666666,-2.224592303333335,-2.363123338333333,0.13853103499999841,0.9084436700363757
taf15,pcas13d_rep2,5,3,20.146271845,0.10279114404479826,944/945,exp,pcas13d,22.557960226666665,-2.4116883816666643,-2.363123338333333,-0.048565043333331115,1.0342357238295723
taf15,uninjected_rep2,2,3,20.145546066666665,0.19311756407110114,944/945,exp,uninjected,22.27785823,-2.132312163333335,-2.363123338333333,0.23081117499999815,0.852155620900419
taf15,znf_3_rep3,15,3,20.420857323333333,0.1451890088683705,944/945,exp,znf_3,22.846540023333333,-2.4256826999999994,-2.363123338333333,-0.0625593616666662,1.0443167513888156
taf15,znf_1_rep3,9,3,19.831147835,0.13444060717460526,944/945,exp,znf_1,22.74684596,-2.9156981250000022,-2.363123338333333,-0.552574786666669,1.466700991718256
znf_3prime,pcas13d_rep1,4,2,22.47556712,0.10379892570042469,5209/5210,exp,pcas13d,22.398121686666666,0.07744543333333453,-0.09509481055555469,0.17254024388888922,0.8872790169838684
znf_3prime,znf_3_rep2,14,2,23.181685356666666,0.08170860027544975,5209/5210,exp,znf_3,22.807432653333333,0.37425270333333316,-0.09509481055555469,0.46934751388888785,0.7222911937507273
znf_3prime,znf_1_rep3,9,2,23.964384133333333,0.14944596173980862,5209/5210,exp,znf_1,22.74684596,1.217538173333331,-0.09509481055555469,1.3126329838888857,0.40258547199178
znf_3prime,znf_2_rep2,11,2,23.2905843,0.07482041982129586,5209/5210,exp,znf_2,22.729223593333334,0.5613607066666653,-0.09509481055555469,0.65645551722222,0.6344350945423191
znf_3prime,uninjected_rep2,2,2,22.323083986666667,0.09846964700246126,5209/5210,exp,uninjected,22.27785823,0.045225756666667394,-0.09509481055555469,0.14032056722222208,0.907317526721004
znf_3prime,znf_1_rep2,8,2,24.68290612,0.08462084828506114,5209/5210,exp,znf_1,23.32657650666667,1.3563296133333296,-0.09509481055555469,1.4514244238888843,0.36566021642228114
znf_3prime,znf_2_rep3,12,2,23.292220413333336,0.05877642654983487,5209/5210,exp,znf_2,23.1535064,0.13871401333333466,-0.09509481055555469,0.23380882388888935,0.850386840064692
znf_3prime,pcas13d_rep2,5,2,22.514468283333333,0.06605045614970051,5209/5210,exp,pcas13d,22.557960226666665,-0.04349194333333273,-0.09509481055555469,0.05160286722222196,0.96486374748903
znf_3prime,uninjected_rep3,3,2,22.601507793333333,0.09003533315564666,5209/5210,exp,uninjected,22.535828915,0.0656788783333333,-0.09509481055555469,0.160773688888888,0.8945452153195698
znf_3prime,pcas13d_rep3,6,2,22.748096903333334,0.12852393003785545,5209/5210,exp,pcas13d,23.067334825,-0.31923792166666587,-0.09509481055555469,-0.22414311111111118,1.1680832592951689
znf_3prime,znf_3_rep1,13,2,23.468301856666667,0.10676639631067737,5209/5210,exp,znf_3,23.165401636666665,0.3029002200000015,-0.09509481055555469,0.3979950305555562,0.7589122405985441
znf_3prime,znf_2_rep1,10,2,23.197245143333333,0.17753957507381693,5209/5210,exp,znf_2,23.353337455000002,-0.1560923116666686,-0.09509481055555469,-0.060997501111113905,1.04318678662677
znf_3prime,uninjected_rep1,1,2,22.574498246666668,0.08174844793922284,5209/5210,exp,uninjected,22.464172910000002,0.11032533666666566,-0.09509481055555469,0.20542014722222035,0.867286075969713
znf_3prime,znf_1_rep1,7,2,24.09116799,0.03410518857412123,5209/5210,exp,znf_1,22.973062256666665,1.1181057333333335,-0.09509481055555469,1.2132005438888882,0.43131071314111674
znf_3prime,znf_3_rep3,15,2,23.606118343333332,0.10082316858998368,5209/5210,exp,znf_3,22.846540023333333,0.7595783199999993,-0.09509481055555469,0.8546731305555539,0.5529906027931725
znf_cds,pcas13d_rep3,6,4,23.825633693333334,0.046537573373851365,4615/4616,exp,pcas13d,23.067334825,0.758298868333334,0.9177807172222217,-0.1594818488888876,1.1168859308826051
znf_cds,znf_1_rep2,8,4,25.60767514,0.13343904842116067,4615/4616,exp,znf_1,23.32657650666667,2.2810986333333325,0.9177807172222217,1.3633179161111109,0.38868735632509416
znf_cds,pcas13d_rep1,4,4,23.424550286666665,0.08986168466539576,4615/4616,exp,pcas13d,22.398121686666666,1.0264285999999991,0.9177807172222217,0.10864788277777748,0.9274568823428307
znf_cds,znf_2_rep3,12,4,24.305103443333334,0.10658666454840969,4615/4616,exp,znf_2,23.1535064,1.1515970433333322,0.9177807172222217,0.23381632611111058,0.8503824179420122
znf_cds,znf_2_rep1,10,4,24.21443197,0.0941008266904691,4615/4616,exp,znf_2,23.353337455000002,0.8610945149999978,0.9177807172222217,-0.05668620222222387,1.0400740174512615
znf_cds,uninjected_rep1,1,4,23.460530776666666,0.06514740689675427,4615/4616,exp,uninjected,22.464172910000002,0.9963578666666635,0.9177807172222217,0.07857714944444183,0.946991151464829
znf_cds,uninjected_rep3,3,4,23.50761469,0.043457248547679524,4615/4616,exp,uninjected,22.535828915,0.9717857750000007,0.9177807172222217,0.054005057777779086,0.9632585170375391
znf_cds,znf_1_rep1,7,4,25.031676943333334,0.077677253856577,4615/4616,exp,znf_1,22.973062256666665,2.058614686666669,0.9177807172222217,1.1408339694444471,0.45349735157658405
znf_cds,znf_1_rep3,9,4,24.90871529,0.12329168723520169,4615/4616,exp,znf_1,22.74684596,2.1618693299999983,0.9177807172222217,1.2440886127777766,0.42217451224051694
znf_cds,znf_3_rep1,13,4,24.60528722,0.06506588959333341,4615/4616,exp,znf_3,23.165401636666665,1.4398855833333357,0.9177807172222217,0.5221048661111141,0.6963551220780082
znf_cds,znf_2_rep2,11,4,24.186189216666666,0.059073856382549916,4615/4616,exp,znf_2,22.729223593333334,1.456965623333332,0.9177807172222217,0.5391849061111103,0.6881595956891322
znf_cds,uninjected_rep2,2,4,23.381704206666665,0.038729548171966575,4615/4616,exp,uninjected,22.27785823,1.1038459766666655,0.9177807172222217,0.18606525944444385,0.8789997989840524
znf_cds,znf_3_rep2,14,4,24.233875656666665,0.06805383510170578,4615/4616,exp,znf_3,22.807432653333333,1.4264430033333326,0.9177807172222217,0.508662286111111,0.7028738633780162
znf_cds,pcas13d_rep2,5,4,23.526574909999997,0.07025017902739392,4615/4616,exp,pcas13d,22.557960226666665,0.9686146833333318,0.9177807172222217,0.05083396611111013,0.9653781199098681
znf_cds,znf_3_rep3,15,4,24.393205366666667,0.0869068213942749,4615/4616,exp,znf_3,22.846540023333333,1.5466653433333342,0.9177807172222217,0.6288846261111125,0.6466761792721429
